6-0-146	10	[2.441869198, 2.377302844, 2.406514206, 2.457462435, 2.431936819, 2.473516805, 2.437761741, 2.405220088, 2.381709121, 2.456298452, 2.410457718, 2.466190206, 2.3997320540000002, 2.3977917700000004, 2.4273608060000003, 2.4576170480000004, 2.429002581, 2.411557138, 2.427021774, 2.4142030960000005, 2.368147572, 2.392190589, 2.4031550499999996, 2.470668674, 2.431588439, 2.334081109, 2.4254700330000003, 2.430333847, 2.407339879, 2.4200102350000003, 2.4497827009999997, 2.448218626, 2.4502016319999997, 2.38459395, 2.395083343, 2.431659061, 2.4082880440000003, 2.444115406, 2.471154141, 2.40113506, ]
2-1-895	4	[2.405695283, 2.377451504, 2.5053644659999996, 2.5139886479999998, 2.350144213, 2.3708165709999998, 2.354056113, 2.327821813, 2.3493789830000003, 2.3544740099999997, 2.3622757080000003, 2.347957287, 2.351623501, 2.369020742, 2.3481532560000002, 2.3598095800000003, 2.3497408539999998, 2.3338659440000002, 2.371028057, 2.3379354770000003, 2.354029037, 2.421824188, 2.344940149, 2.363053051, 2.310998537, 2.377953072, 2.3265447870000004, 2.390207148, 2.3190133480000004, 2.353827633, 2.3913694320000003, 2.326086222, 2.389772774, 2.345925191, 2.319468812, 2.3437837480000003, 2.3358389290000003, 2.358042063, 2.318379531, 2.371051322, ]
12-0-188	8	[2.3793942379999997, 2.382154378, 2.363745296, 2.381645821, 2.371590412, 2.364371704, 2.3719515529999997, 2.368328331, 2.33993977, 2.35052381, 2.339551137, 2.398742044, 2.3602690649999998, 2.343036814, 2.3419806779999996, 2.3471043290000004, 2.344164712, 2.3681616090000004, 2.385786554, 2.427241607, 2.384657586, 2.41658931, 2.432503003, 2.3756561620000003, 2.3435676269999997, 2.414291382, 2.3885858659999997, 2.363586892, 2.4053791, 2.338049454, 2.3789362429999996, 2.361993774, 2.350176963, 2.394272514, 2.358541026, 2.382336705, 2.3540416019999997, 2.3771414440000003, 2.427386336, 2.317875167, ]
1-0-460	9	[2.3616306930000004, 2.4339563810000002, 2.374003108, 2.4331447639999997, 2.427176945, 2.4674670499999998, 2.4218885620000004, 2.428948964, 2.398259268, 2.403360046, 2.4097417919999997, 2.4266458889999996, 2.425686892, 2.4421534019999998, 2.439614826, 2.4297124390000002, 2.441000227, 2.403457587, 2.445065563, 2.389565912, 2.4310183309999998, 2.384755445, 2.3847426890000003, 2.39334743, 2.442448389, 2.397330706, 2.462796387, 2.4756175540000003, 2.391384719, 2.385253252, 2.463031472, 2.394162585, 2.413006589, 2.3909674379999997, 2.406171395, 2.4264722990000003, 2.3965368309999997, 2.428541399, 2.416605799, 2.407623464, ]
3-1-834	8	[2.458774842, 2.497632211, 2.480187433, 2.511178474, 2.5322347080000003, 2.527106219, 2.487362621, 2.4873063799999997, 2.507322768, 2.7136583979999997, 2.512079966, 2.551342882, 2.533427867, 2.4751591769999997, 2.4569082030000002, 2.562107264, 2.4966676210000003, 2.5306847269999997, 2.489657356, 2.498272662, 2.504637093, 2.531886785, 2.498460303, 2.488076526, 2.4999277419999997, 2.504646862, 2.5196986569999997, 2.4989565689999997, 2.518635005, 2.50938727, 2.47356575, 2.4788744119999997, 2.4739202639999998, 2.501523891, 2.528656196, 2.545498428, 2.51770285, 2.477376031, 2.475299563, 2.513747024, ]
15-0-484	6	[2.432648523, 2.4273146, 2.435918969, 2.456426097, 2.4512918139999997, 2.509440088, 2.4263516600000004, 2.474083655, 2.448680497, 2.410674624, 2.4513001130000003, 2.417368139, 2.450877289, 2.471449953, 2.428836412, 2.409616519, 2.409744492, 2.439930329, 2.4696711409999996, 2.435218095, 2.460484941, 2.4316784869999997, 2.402266533, 2.497514425, 2.4186586319999996, 2.380627733, 2.4055457430000002, 2.4755544389999997, 2.476347954, 2.4193964230000002, 2.4302558089999997, 2.441722967, 2.445184247, 2.471669512, 2.418829654, 2.4097768410000002, 2.424896465, 2.4863431179999997, 2.442478952, 2.429091235, ]
0-1-893	6	[2.317810492, 2.4001168710000003, 2.362558119, 2.341069333, 2.37860453, 2.292867842, 2.3430671309999997, 2.327630693, 2.343099512, 2.389457308, 2.313902447, 2.3418023139999997, 2.38236243, 2.3406044460000004, 2.327287347, 2.291004513, 2.330655451, 2.3327562239999997, 2.360576726, 2.3020238940000004, 2.342610745, 2.3517975, 2.341116316, 2.341492853, 2.369092262, 2.309772626, 2.3496633080000002, 2.4075525129999997, 2.412995417, 2.3670841840000003, 2.326595659, 2.323499877, 2.366555737, 2.326512712, 2.3454916480000003, 2.332778473, 2.3451797240000003, 2.345615296, 2.3400738160000003, 2.329276648, ]
13-1-2	10	[2.488692879, 2.438439045, 2.479535426, 2.442376336, 2.4288908080000002, 2.488908097, 2.425954327, 2.4259055, 2.42920559, 2.498327219, 2.417085853, 2.4885794050000003, 2.5167314590000003, 2.4586618909999998, 2.3995912400000003, 2.422697577, 2.4136649869999998, 2.464964997, 2.4426871419999996, 2.4701242160000003, 2.435384644, 2.409646265, 2.4381125179999996, 2.490274038, 2.460872075, 2.469419791, 2.423469537, 2.425655402, 2.445763056, 2.438068129, 2.469981207, 2.478455138, 2.457720912, 2.464155626, 2.450564387, 2.487112941, 2.539808955, 2.457539085, 2.415696591, 2.459035751, ]
15-0-138	8	[2.4131920140000003, 2.4242231739999998, 2.365202481, 2.395083246, 2.4194597090000003, 2.349076569, 2.40856131, 2.426629039, 2.446397679, 2.441400348, 2.442650477, 2.414886138, 2.4328529420000002, 2.455664023, 2.432137374, 2.4183890220000004, 2.400106106, 2.451829527, 2.4031931330000003, 2.431176143, 2.450709127, 2.410337426, 2.388357055, 2.405356497, 2.3691752470000003, 2.417960202, 2.4021256190000004, 2.486206097, 2.408436989, 2.368597996, 2.381090633, 2.417358644, 2.36442559, 2.441687127, 2.4281025310000004, 2.376034646, 2.3612977809999998, 2.440952555, 2.416330572, 2.417233207, ]
1-1-356	9	[2.4672814990000003, 2.460507942, 2.407603173, 2.4499886429999997, 2.510012519, 2.4793766589999997, 2.440622138, 2.418131822, 2.461085781, 2.494573303, 2.4461028970000003, 2.469136602, 2.4736811770000005, 2.445201532, 2.47558834, 2.47253054, 2.5344725959999996, 2.476151319, 2.471512147, 2.505734762, 2.470746975, 2.517702987, 2.4729780029999997, 2.48062562, 2.508978275, 2.440886891, 2.475138349, 2.5029279539999996, 2.4420997289999997, 2.45040528, 2.544867926, 2.488446847, 2.45774465, 2.432750371, 2.504016642, 2.455932419, 2.492483369, 2.436750505, 2.4998577509999995, 2.496711968, ]
