time, dealer.replace_card,dealer.update_game,dealer.output_scores,dealer.create_stacks,dealer.create_deck,dealer.simulate_game,dealer.__init__,main.main,main.generate_players,main.generate_dealer,player.get_index_of_closest_stack,player.choose_correct_stack,player.discard,player.__init__
2.0980641369999997,1,1,0,0,1,1,1,0,1,1,1,0,1,1
2.1963280409999997,1,1,0,0,1,1,1,0,1,1,1,0,1,1
2.1739463299999997,1,1,0,0,1,1,1,0,1,1,1,0,1,1
2.054289142,1,1,0,0,1,1,1,1,1,1,1,0,1,0
2.101899531,1,1,0,0,1,1,1,1,1,1,1,0,1,0
2.080147576,1,1,0,0,1,1,1,1,1,1,1,0,1,0
2.175348588,1,1,0,0,1,1,1,1,1,1,1,0,0,0
2.121014919,1,1,0,0,1,1,1,1,1,1,1,0,0,0
2.108716785,1,1,0,0,1,1,1,1,1,1,1,0,0,0
2.249324845,1,1,0,0,1,1,1,1,1,1,0,1,0,1
2.120404968,1,1,0,0,1,1,1,1,1,1,0,1,0,1
2.139598894,1,1,0,0,1,1,1,1,1,1,0,1,0,1
2.010910308,1,1,0,0,1,1,1,1,1,1,1,1,1,0
2.185193215,1,1,0,0,1,1,1,1,1,1,1,1,1,0
2.045923282,1,1,0,0,1,1,1,1,1,1,1,1,1,0
2.3725411,1,1,0,0,1,1,1,1,1,1,0,0,0,1
2.2367528,1,1,0,0,1,1,1,1,1,1,0,0,0,1
2.171249233,1,1,0,0,1,1,1,1,1,1,0,0,0,1
2.085501182,1,1,0,0,1,1,1,1,1,1,1,1,0,0
2.125086795,1,1,0,0,1,1,1,1,1,1,1,1,0,0
2.208481865,1,1,0,0,1,1,1,1,1,1,1,1,0,0
2.1185209769999997,1,1,0,0,1,1,1,1,1,1,1,1,0,1
2.23652574,1,1,0,0,1,1,1,1,1,1,1,1,0,1
2.131157489,1,1,0,0,1,1,1,1,1,1,1,1,0,1
2.266914729,1,1,0,0,1,1,1,1,1,1,0,0,1,1
2.189380619,1,1,0,0,1,1,1,1,1,1,0,0,1,1
